hostname=node2, be=0, 64-bit, os=Linux, arch=aarch64, fio=fio-3.12, flags=1
<node2> rbd: (g=0): rw=randrw, bs=(R) 8192B-8192B, (W) 8192B-8192B, (T) 8192B-8192B, ioengine=rbd, iodepth=64
<node2> Starting 1 process
Jobs: 1 (f=1)
Jobs: 1 (f=1)
Jobs: 1 (f=1): [m(1)][0.5%][r=7424k,w=3416k][r=928,w=427 IOPS][eta 09m:57s]
Jobs: 1 (f=1): [m(1)][0.7%][r=7312k,w=3256k][r=914,w=407 IOPS][eta 09m:56s]
Jobs: 1 (f=1): [m(1)][0.8%][r=7208k,w=3328k][r=901,w=416 IOPS][eta 09m:55s]
Jobs: 1 (f=1): [m(1)][1.0%][r=6864k,w=3008k][r=858,w=376 IOPS][eta 09m:54s]
Jobs: 1 (f=1): [m(1)][1.2%][r=7752k,w=2960k][r=969,w=370 IOPS][eta 09m:53s]
Jobs: 1 (f=1): [m(1)][1.3%][r=7504k,w=3032k][r=938,w=379 IOPS][eta 09m:52s]
Jobs: 1 (f=1): [m(1)][1.5%][r=8136k,w=3488k][r=1017,w=436 IOPS][eta 09m:51s]
Jobs: 1 (f=1): [m(1)][1.7%][r=7736k,w=3312k][r=967,w=414 IOPS][eta 09m:50s] 
Jobs: 1 (f=1): [m(1)][1.8%][r=6744k,w=2848k][r=843,w=356 IOPS][eta 09m:49s]
Jobs: 1 (f=1): [m(1)][2.0%][r=7952k,w=3352k][r=994,w=419 IOPS][eta 09m:48s]
Jobs: 1 (f=1): [m(1)][2.2%][r=8968k,w=3472k][r=1121,w=434 IOPS][eta 09m:47s]
Jobs: 1 (f=1): [m(1)][2.3%][r=8088k,w=3296k][r=1011,w=412 IOPS][eta 09m:46s]
Jobs: 1 (f=1): [m(1)][2.5%][r=6192k,w=2856k][r=774,w=357 IOPS][eta 09m:45s] 
Jobs: 1 (f=1): [m(1)][2.7%][r=7248k,w=3120k][r=906,w=390 IOPS][eta 09m:44s]
Jobs: 1 (f=1): [m(1)][2.8%][r=8592k,w=3344k][r=1074,w=418 IOPS][eta 09m:43s]
Jobs: 1 (f=1): [m(1)][3.0%][r=7960k,w=3272k][r=995,w=409 IOPS][eta 09m:42s] 
Jobs: 1 (f=1): [m(1)][3.2%][r=7392k,w=3376k][r=924,w=422 IOPS][eta 09m:41s]
Jobs: 1 (f=1): [m(1)][3.3%][r=7048k,w=2840k][r=881,w=355 IOPS][eta 09m:40s]
Jobs: 1 (f=1): [m(1)][3.5%][r=7704k,w=3600k][r=963,w=450 IOPS][eta 09m:39s]
Jobs: 1 (f=1): [m(1)][3.7%][r=7800k,w=2888k][r=975,w=361 IOPS][eta 09m:38s]
Jobs: 1 (f=1): [m(1)][3.8%][r=6512k,w=3392k][r=814,w=424 IOPS][eta 09m:37s]
Jobs: 1 (f=1): [m(1)][4.0%][r=7808k,w=3112k][r=976,w=389 IOPS][eta 09m:36s]
Jobs: 1 (f=1): [m(1)][4.2%][r=7032k,w=3232k][r=879,w=404 IOPS][eta 09m:35s]
Jobs: 1 (f=1): [m(1)][4.3%][r=7176k,w=3048k][r=897,w=381 IOPS][eta 09m:34s]
Jobs: 1 (f=1): [m(1)][4.5%][r=7344k,w=3336k][r=918,w=417 IOPS][eta 09m:33s]
Jobs: 1 (f=1): [m(1)][4.7%][r=7536k,w=3016k][r=942,w=377 IOPS][eta 09m:32s]
Jobs: 1 (f=1): [m(1)][4.8%][r=7800k,w=3536k][r=975,w=442 IOPS][eta 09m:31s]
Jobs: 1 (f=1): [m(1)][5.0%][r=7280k,w=3200k][r=910,w=400 IOPS][eta 09m:30s]
Jobs: 1 (f=1): [m(1)][5.2%][r=7800k,w=3272k][r=975,w=409 IOPS][eta 09m:29s]
Jobs: 1 (f=1): [m(1)][5.3%][r=8624k,w=3320k][r=1078,w=415 IOPS][eta 09m:28s]
Jobs: 1 (f=1): [m(1)][5.5%][r=7840k,w=3224k][r=980,w=403 IOPS][eta 09m:27s] 
Jobs: 1 (f=1): [m(1)][5.7%][r=7968k,w=3400k][r=996,w=425 IOPS][eta 09m:26s]
Jobs: 1 (f=1): [m(1)][5.8%][r=7536k,w=3448k][r=942,w=431 IOPS][eta 09m:25s]
Jobs: 1 (f=1): [m(1)][6.0%][r=6680k,w=3024k][r=835,w=378 IOPS][eta 09m:24s]
Jobs: 1 (f=1): [m(1)][6.2%][r=7712k,w=3424k][r=964,w=428 IOPS][eta 09m:23s]
Jobs: 1 (f=1): [m(1)][6.3%][r=7904k,w=3232k][r=988,w=404 IOPS][eta 09m:22s]
Jobs: 1 (f=1): [m(1)][6.5%][r=7120k,w=3152k][r=890,w=394 IOPS][eta 09m:21s]
Jobs: 1 (f=1): [m(1)][6.7%][r=8368k,w=3440k][r=1046,w=430 IOPS][eta 09m:20s]
Jobs: 1 (f=1): [m(1)][6.8%][r=7768k,w=3232k][r=971,w=404 IOPS][eta 09m:19s] 
Jobs: 1 (f=1): [m(1)][7.0%][r=7256k,w=3336k][r=907,w=417 IOPS][eta 09m:18s]
Jobs: 1 (f=1): [m(1)][7.2%][r=7688k,w=3104k][r=961,w=388 IOPS][eta 09m:17s]
Jobs: 1 (f=1): [m(1)][7.3%][r=7832k,w=3344k][r=979,w=418 IOPS][eta 09m:16s]
Jobs: 1 (f=1): [m(1)][7.5%][r=7912k,w=3240k][r=989,w=405 IOPS][eta 09m:15s]
Jobs: 1 (f=1): [m(1)][7.7%][r=7984k,w=3232k][r=998,w=404 IOPS][eta 09m:14s]
Jobs: 1 (f=1): [m(1)][7.8%][r=6992k,w=3016k][r=874,w=377 IOPS][eta 09m:13s]
Jobs: 1 (f=1): [m(1)][8.0%][r=6656k,w=3104k][r=832,w=388 IOPS][eta 09m:12s]
Jobs: 1 (f=1): [m(1)][8.2%][r=7176k,w=3104k][r=897,w=388 IOPS][eta 09m:11s]
Jobs: 1 (f=1): [m(1)][8.3%][r=5800k,w=2560k][r=725,w=320 IOPS][eta 09m:10s]
Jobs: 1 (f=1): [m(1)][8.5%][r=7928k,w=3456k][r=991,w=432 IOPS][eta 09m:09s]
Jobs: 1 (f=1): [m(1)][8.7%][r=8584k,w=3728k][r=1073,w=466 IOPS][eta 09m:08s]
Jobs: 1 (f=1): [m(1)][8.8%][r=5160k,w=2344k][r=645,w=293 IOPS][eta 09m:07s] 
Jobs: 1 (f=1): [m(1)][9.0%][r=6776k,w=2952k][r=847,w=369 IOPS][eta 09m:06s]
Jobs: 1 (f=1): [m(1)][9.2%][r=7528k,w=3352k][r=941,w=419 IOPS][eta 09m:05s]
Jobs: 1 (f=1): [m(1)][9.3%][r=7256k,w=3280k][r=907,w=410 IOPS][eta 09m:04s]
Jobs: 1 (f=1): [m(1)][9.5%][r=6680k,w=2688k][r=835,w=336 IOPS][eta 09m:03s]
Jobs: 1 (f=1): [m(1)][9.7%][r=7344k,w=3120k][r=918,w=390 IOPS][eta 09m:02s]
Jobs: 1 (f=1): [m(1)][9.8%][r=7240k,w=3192k][r=905,w=399 IOPS][eta 09m:01s]
Jobs: 1 (f=1): [m(1)][10.0%][r=7088k,w=2840k][r=886,w=355 IOPS][eta 09m:00s]
Jobs: 1 (f=1): [m(1)][10.2%][r=6800k,w=2728k][r=850,w=341 IOPS][eta 08m:59s]
Jobs: 1 (f=1): [m(1)][10.3%][r=7048k,w=2912k][r=881,w=364 IOPS][eta 08m:58s]
Jobs: 1 (f=1): [m(1)][10.5%][r=7832k,w=3024k][r=979,w=378 IOPS][eta 08m:57s]
Jobs: 1 (f=1): [m(1)][10.7%][r=8056k,w=2968k][r=1007,w=371 IOPS][eta 08m:56s]
Jobs: 1 (f=1): [m(1)][10.8%][r=7320k,w=2976k][r=915,w=372 IOPS][eta 08m:55s] 
Jobs: 1 (f=1): [m(1)][11.0%][r=7080k,w=2936k][r=885,w=367 IOPS][eta 08m:54s]
Jobs: 1 (f=1): [m(1)][11.2%][r=7296k,w=3016k][r=912,w=377 IOPS][eta 08m:53s]
Jobs: 1 (f=1): [m(1)][11.3%][r=7416k,w=3456k][r=927,w=432 IOPS][eta 08m:52s]
Jobs: 1 (f=1): [m(1)][11.5%][r=7096k,w=2744k][r=887,w=343 IOPS][eta 08m:51s]
Jobs: 1 (f=1): [m(1)][11.7%][r=7536k,w=3264k][r=942,w=408 IOPS][eta 08m:50s]
Jobs: 1 (f=1): [m(1)][11.8%][r=8672k,w=3344k][r=1084,w=418 IOPS][eta 08m:49s]
Jobs: 1 (f=1): [m(1)][12.0%][r=6664k,w=2920k][r=833,w=365 IOPS][eta 08m:48s] 
Jobs: 1 (f=1): [m(1)][12.2%][r=6880k,w=3064k][r=860,w=383 IOPS][eta 08m:47s]
Jobs: 1 (f=1): [m(1)][12.3%][r=6776k,w=2976k][r=847,w=372 IOPS][eta 08m:46s]
Jobs: 1 (f=1): [m(1)][12.5%][r=7336k,w=3064k][r=917,w=383 IOPS][eta 08m:45s]
Jobs: 1 (f=1): [m(1)][12.7%][r=7192k,w=3192k][r=899,w=399 IOPS][eta 08m:44s]
Jobs: 1 (f=1): [m(1)][12.8%][r=6632k,w=3128k][r=829,w=391 IOPS][eta 08m:43s]
Jobs: 1 (f=1): [m(1)][13.0%][r=6624k,w=3144k][r=828,w=393 IOPS][eta 08m:42s]
Jobs: 1 (f=1): [m(1)][13.2%][r=7696k,w=3072k][r=962,w=384 IOPS][eta 08m:41s]
Jobs: 1 (f=1): [m(1)][13.3%][r=6592k,w=2936k][r=824,w=367 IOPS][eta 08m:40s]
Jobs: 1 (f=1): [m(1)][13.5%][r=7096k,w=3280k][r=887,w=410 IOPS][eta 08m:39s]
Jobs: 1 (f=1): [m(1)][13.7%][r=6048k,w=2456k][r=756,w=307 IOPS][eta 08m:38s]
Jobs: 1 (f=1): [m(1)][13.8%][r=7528k,w=2928k][r=941,w=366 IOPS][eta 08m:37s]
Jobs: 1 (f=1): [m(1)][14.0%][r=8144k,w=3464k][r=1018,w=433 IOPS][eta 08m:36s]
Jobs: 1 (f=1): [m(1)][14.2%][r=6040k,w=2664k][r=755,w=333 IOPS][eta 08m:35s] 
Jobs: 1 (f=1): [m(1)][14.3%][r=7416k,w=3000k][r=927,w=375 IOPS][eta 08m:34s]
Jobs: 1 (f=1): [m(1)][14.5%][r=6144k,w=3016k][r=768,w=377 IOPS][eta 08m:33s]
Jobs: 1 (f=1): [m(1)][14.7%][r=7240k,w=3336k][r=905,w=417 IOPS][eta 08m:32s]
Jobs: 1 (f=1): [m(1)][14.8%][r=6424k,w=2832k][r=803,w=354 IOPS][eta 08m:31s]
Jobs: 1 (f=1): [m(1)][15.0%][r=7280k,w=3360k][r=910,w=420 IOPS][eta 08m:30s]
Jobs: 1 (f=1): [m(1)][15.2%][r=6544k,w=3032k][r=818,w=379 IOPS][eta 08m:29s]
Jobs: 1 (f=1): [m(1)][15.3%][r=7544k,w=3120k][r=943,w=390 IOPS][eta 08m:28s]
Jobs: 1 (f=1): [m(1)][15.5%][r=8008k,w=3120k][r=1001,w=390 IOPS][eta 08m:27s]
Jobs: 1 (f=1): [m(1)][15.7%][r=6952k,w=2824k][r=869,w=353 IOPS][eta 08m:26s] 
Jobs: 1 (f=1): [m(1)][15.8%][r=7176k,w=3192k][r=897,w=399 IOPS][eta 08m:25s]
Jobs: 1 (f=1): [m(1)][16.0%][r=7816k,w=3208k][r=977,w=401 IOPS][eta 08m:24s]
Jobs: 1 (f=1): [m(1)][16.2%][r=7240k,w=3304k][r=905,w=413 IOPS][eta 08m:23s]
Jobs: 1 (f=1): [m(1)][16.3%][r=7256k,w=3104k][r=907,w=388 IOPS][eta 08m:22s]
Jobs: 1 (f=1): [m(1)][16.5%][r=7328k,w=3040k][r=916,w=380 IOPS][eta 08m:21s]
Jobs: 1 (f=1): [m(1)][16.7%][r=7512k,w=3224k][r=939,w=403 IOPS][eta 08m:20s]
Jobs: 1 (f=1): [m(1)][16.8%][r=7600k,w=2984k][r=950,w=373 IOPS][eta 08m:19s]
Jobs: 1 (f=1): [m(1)][17.0%][r=6480k,w=2872k][r=810,w=359 IOPS][eta 08m:18s]
Jobs: 1 (f=1): [m(1)][17.2%][r=7128k,w=3152k][r=891,w=394 IOPS][eta 08m:17s]
Jobs: 1 (f=1): [m(1)][17.3%][r=6728k,w=2880k][r=841,w=360 IOPS][eta 08m:16s]
Jobs: 1 (f=1): [m(1)][17.5%][r=7336k,w=3136k][r=917,w=392 IOPS][eta 08m:15s]
Jobs: 1 (f=1): [m(1)][17.7%][r=7592k,w=3432k][r=949,w=429 IOPS][eta 08m:14s]
Jobs: 1 (f=1): [m(1)][17.8%][r=7856k,w=2944k][r=982,w=368 IOPS][eta 08m:13s]
Jobs: 1 (f=1): [m(1)][18.0%][r=7744k,w=3128k][r=968,w=391 IOPS][eta 08m:12s]
Jobs: 1 (f=1): [m(1)][18.2%][r=7600k,w=2920k][r=950,w=365 IOPS][eta 08m:11s]
Jobs: 1 (f=1): [m(1)][18.3%][r=7360k,w=3200k][r=920,w=400 IOPS][eta 08m:10s]
Jobs: 1 (f=1): [m(1)][18.5%][r=6072k,w=2624k][r=759,w=328 IOPS][eta 08m:09s]
Jobs: 1 (f=1): [m(1)][18.7%][r=7472k,w=3336k][r=934,w=417 IOPS][eta 08m:08s]
Jobs: 1 (f=1): [m(1)][18.8%][r=6672k,w=2960k][r=834,w=370 IOPS][eta 08m:07s]
Jobs: 1 (f=1): [m(1)][19.0%][r=6760k,w=2896k][r=845,w=362 IOPS][eta 08m:06s]
Jobs: 1 (f=1): [m(1)][19.2%][r=6568k,w=2976k][r=821,w=372 IOPS][eta 08m:05s]
Jobs: 1 (f=1): [m(1)][19.3%][r=6624k,w=3216k][r=828,w=402 IOPS][eta 08m:04s]
Jobs: 1 (f=1): [m(1)][19.5%][r=7024k,w=3136k][r=878,w=392 IOPS][eta 08m:03s]
